attack	comment
1	"`NEWLINE_TOKENNEWLINE_TOKEN==Yoga== NEWLINE_TOKENThank you putting an end to the edit war. Goodfaith17 changed the title of the section on ``Talk`` page of the article from ``Changes by Goodfaith17: Reversal of material added by other editors and order of info-boxes`` to ``Changes by Samenewguy  Reversal of material added by other editors and order of info-boxes``. Is this acceptable? I do not think he can replace his name in the title of this section by my name. I am not sure if he knows that these changes are tracked.   NEWLINE_TOKENNEWLINE_TOKENThere were changes made to this article yesterday by Lightocha, prestigiouzman, DMacks, Tbhotch and myself and these were discussed. Goodfaith17 comes in and reverts those without any discussion whatsoever.   `"
0	"`, 1 Oct 2004 (UTC)NEWLINE_TOKENNEWLINE_TOKENStill digging. For liquid:liquid solutions such as alcohol:NEWLINE_TOKEN``Volume-volume percentage or % (v/v) describes the ml solute per 100 mL solution. This is most useful when liquids are being mixed.NEWLINE_TOKENFor example, beer is about 5% ethanol by volume. This means every 100 mL beer contains 5 mL ethanol (ethyl alcohol).`` (chem lecture notes) Need to re-write and include as volume-volume concentration. Still more to do ) - 02:19`"
1	NEWLINE_TOKENNEWLINE_TOKEN== I will adopt you if you like ==NEWLINE_TOKENNEWLINE_TOKEN
0	NEWLINE_TOKENNEWLINE_TOKEN:Could I please be unblocked?
1	NEWLINE_TOKENNEWLINE_TOKENFuk off then douchbag.NEWLINE_TOKENNEWLINE_TOKENThis dope needs to investigated for Kleargear fraud. NEER DO WELL BLOG
1	"`NEWLINE_TOKENNEWLINE_TOKEN:And as the articles cited show, China didn't ``take control of the Aksai Chin`` during the war. It had controlled territory up to that point before the war. During the course of the war, China advanced and expelled Indian troops from the area now part of Arunachal Pradesh, and after winning, withdrew back to its pre-war line of control. `"
1	NEWLINE_TOKENNEWLINE_TOKEN== Wait a second!! ==NEWLINE_TOKENNEWLINE_TOKENI helped you not vandalized you!!!
0	"Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia.    "
0	"NEWLINE_TOKENNEWLINE_TOKEN:True, but I thought I?ÇÖd read somewhere that Apple had officially dropped the name Macintosh, and Mac was now the official name. But, no one else has heard this? ?Çö  "
0	"NEWLINE_TOKENNEWLINE_TOKEN== flip trick legend ==NEWLINE_TOKENNEWLINE_TOKENI propose clearing a legend for the flip tricks.  It would look something like this:NEWLINE_TOKENNEWLINE_TOKENBoard Flip:NEWLINE_TOKENBoard Spin:NEWLINE_TOKENRider Rotation:NEWLINE_TOKENNEWLINE_TOKENThe flip field would have a heel/kick flip value, spin and rotation would have a frontside/backside value, all would have a degree value, and would be measured as compared to a stationary observer.  NEWLINE_TOKENNEWLINE_TOKENex:NEWLINE_TOKEN360 FlipNEWLINE_TOKEN    (text description)NEWLINE_TOKENNEWLINE_TOKENBoard Flip: 360 degrees kickNEWLINE_TOKENBoard Spin: 360 degrees backsideNEWLINE_TOKENRider Rotation: noneNEWLINE_TOKENNEWLINE_TOKENBig Spin:NEWLINE_TOKEN(text description)NEWLINE_TOKENNEWLINE_TOKENBoard Flip: noneNEWLINE_TOKENBoard Spin: 360 degrees backsideNEWLINE_TOKENRider Rotation: 180 degrees backsideNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENOr it could be broken down into parts of the trick:NEWLINE_TOKENNEWLINE_TOKENUnderflip:NEWLINE_TOKEN(text)NEWLINE_TOKENNEWLINE_TOKENPart 1:NEWLINE_TOKENBoard Flip: 270 degrees kickNEWLINE_TOKENBoard Spin: noneNEWLINE_TOKENRider Rotation: noneNEWLINE_TOKENNEWLINE_TOKENPart 2:NEWLINE_TOKENBoard Flip: 270 degrees heelNEWLINE_TOKENBoard Spin: noneNEWLINE_TOKENRider Rotation: noneNEWLINE_TOKENNEWLINE_TOKEN "
0	" Censorship on Wikipedia by Humus sapiens NEWLINE_TOKENNEWLINE_TOKENI added the link to the book Lightening and the Sun on this article and Humus sapiens  censored the link. The book link is located on...NEWLINE_TOKENNEWLINE_TOKENhttp://www.solargeneral.com/library/lightningsun.pdfNEWLINE_TOKENNEWLINE_TOKENYou are now added to the censorship list, and we are checking it twice we're gonna remember who is naughty or nice!"
1	"NEWLINE_TOKENNEWLINE_TOKEN== File:Battle of Bramall Lane 20020316.jpg listed for deletion ==NEWLINE_TOKENA file that you uploaded or altered, File:Battle of Bramall Lane 20020316.jpg, has been listed at Wikipedia:Files for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.     "
1	"`NEWLINE_TOKENNEWLINE_TOKEN==cooperation is asked for but is true cooperation asked for?==NEWLINE_TOKENNEWLINE_TOKENI don't have any problem with the NPOV rule.  I just see censorship over and over. Wikipedia is clear:NEWLINE_TOKENNEWLINE_TOKEN``None of this, however, is to say that minority views cannot receive as much attention as we can possibly give them on pages specifically devoted to those views. There is no size limit to Wikipedia. But even on such pages, though a view is spelled out possibly in great detail, we still make sure that the view is not represented as the truth.`` NEWLINE_TOKENNEWLINE_TOKENNow I have wanted to have cooperation and have good faith efforts on both sides.  I have listened to the other side and taken feedback. I made some changes although admittedly not a lot.  NEWLINE_TOKENNEWLINE_TOKENHowever, Cooperation may never happen.  Why?NEWLINE_TOKENNEWLINE_TOKENHere is why:NEWLINE_TOKENNEWLINE_TOKEN1.  Does MickWest change the theological conservative Christianity  internal link so it goes to the Christian right (Falwell, etc).  Would a person who wants to act in good faith do that?  NEWLINE_TOKENNEWLINE_TOKEN2. Would people who act in good faith send harrassing messages (``fundie`` etc).  NEWLINE_TOKENNEWLINE_TOKENI think the people calling for cooperation yet saying absolutely nothing publically about the bad behavior of certain parties are not seeking true cooperation.  What they are asking for is the minority view be trampled despite the Wikipedia policy. NEWLINE_TOKENNEWLINE_TOKEN kdbuffalo`"
1	"`NEWLINE_TOKENGood lord.  Could this discussion pissably [sic] stop any lower?  Get a grip folks, try to remember we're writing an encyclopedia, not seeing who can piss the furthest.   `"
1	Thank you. Have a great day.
0	"NEWLINE_TOKENNEWLINE_TOKEN==Confusions==NEWLINE_TOKENNEWLINE_TOKENThere have been many confusions over which war Hannibal fought in, the main argument is; did he fight in the first or Second Punic War? I have recently edited the article to say that he fought in the Second, I know this from many sources and logically deduced that he could not have possible fought in the first Punic war. The First Punic War was 264 - 241 BC, Hannibal had only been born in 247 BC, and could not have commanded or fought at the age of six."
1	NEWLINE_TOKENNEWLINE_TOKENNo a sockpuppet is an account of of another. IP adresses aren't accounts.
0	"NEWLINE_TOKEN::It must be a confusion with Schengen, which unified European policy concerning security matters. "
1	 never touch my edits again you douche bag
1	"NEWLINE_TOKENNEWLINE_TOKENGo to the devil, cultist! You don't own this place. And I ain't your dude, mofo!  "
0	"`==Paul neumaier test 1==NEWLINE_TOKENNEWLINE_TOKENThank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. `"
1	"NEWLINE_TOKEN::::The source is up here, please read it. And I'm not offending you nor the publishers of Wiki-en, which is 1000 times more intelligent than the Wiki-PT, which if closed would not miss any to the project. I do not care to discuss with the clique of psychopaths of the Wiki-PT.   "
1	"`NEWLINE_TOKEN:::::::::::::I *did* document that Peiser's results had appeared in a reliable source.  That source (the WSJ) was removed by another editor.  As for this silliness about ``Peiser admitting his mistake``, that is a deeply dishonest portrayal and you know it.  In the very same letter, he *affirmed* that his conclusions were entirely correct; the 'error' in no way affected either his results or his beliefs about them.   `"
1	"similar concept? how can you mark a modern day nation with being a barbarian? you western jerks were playing with pieces of shits while we were conquering the world. You may be ultra-christ, ultra-greek, ultra-armenian ultra-western or whatever you want, but cant be a Turk.   NEWLINE_TOKENNEWLINE_TOKEN"
1	"NEWLINE_TOKEN::::If you have some issues let's disscuss them, but don't file me reports on vandalism when you have dispute problems. OK?   "
0	"NEWLINE_TOKENNEWLINE_TOKENI'm in favour of a picture too and this one is good. However, I have no clue about copyright issues on wikipedia.NEWLINE_TOKEN "
0	" tidies them up etc. I love teamwork. Also,"
1	"`NEWLINE_TOKENNEWLINE_TOKENI don't edit Wikipedia as I am no longer a virgin and I have a life.NEWLINE_TOKENYou reverted an ``edit`` of mine on the Lily Allen DISCUSSION page.NEWLINE_TOKENIf you revert something I wrote, I don't give a shit and you don't haveNEWLINE_TOKENto tell me, I could care less. Just delete it and move on.NEWLINE_TOKENAnd of course my comment was unconstructive, it wasn't meant to be constructive. NEWLINE_TOKENAnd quite frankly, every single Wikipedia editor and administrator I have metNEWLINE_TOKENare extreeeeeeeeeeeeeeeeeeme losers with no lives who speak about frivilous crapNEWLINE_TOKENlike ``Lily Allen`` as if anyone actually gave a shit. NEWLINE_TOKENNEWLINE_TOKENLet me take you out for a drink or to the strip club or something and showNEWLINE_TOKENyou how HUMAN BEINGS spend their time.   `"
1	"NEWLINE_TOKEN*No regrets, he had it coming for being a crybaby. I stand by my hope that he gets whats coming to him "
0	NEWLINE_TOKENNEWLINE_TOKENWhat do you mean where did the albums formats disappear?   
1	NEWLINE_TOKEN::: Im sure many programs use vector graphics. They dont all have to be listed.   
1	"`NEWLINE_TOKENNEWLINE_TOKEN== Resolving this once and for all ==NEWLINE_TOKENNEWLINE_TOKENThe dispute regarding the Roxas v Marcos case has gone on long enough. It doesn't need to be this complicated. This is a fascinating lawsuit with real life disputes over ``Yamashita's treasure`` right smack in the middle of it. What is the real problem here? A Hawaiian court sided with Roxas in 1998. The Hawaii Supreme Court later sided with Marcos that insufficient evidence was presented to value restitution for the treasure seized. It remanded to the trial court that it rework its valuation for the assets seized in its judgment. The trial court returned a new judgment (published 2001 I believe), and this judgment was upheld by the Hawaii Supreme Court. So let's try this again fresh: don't simply repeat what's already been said (that's the reason why the dispute is still stuck-repeating the same thing again and again won't help). I ask you to keep it simple and to the point, 1 little tidy paragraph, that's it: what does this article need to say about Roxas v Marcos? and what does it need not to say? Can we do that?   `"
1	NEWLINE_TOKENdolescum you are a stupid motherfucker
0	"NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN==:File:Eesho_Aramaic_name_of_Jesus.jpg==NEWLINE_TOKENUnfortunately, that image uses a Syriac alphabet in form which did not come into existence until several centuries after the life of Jesus (not to mention that Jesus spoke a Western Aramaic language, while Syriac is an Eastern Aramaic language), so that any implication that this image contains the name of Jesus as it would have been written during his own lifetime would unfortunately be very misleading...   "
1	NEWLINE_TOKENNEWLINE_TOKENYour two ass and my single penis.How about threesome?
1	"`NEWLINE_TOKENNEWLINE_TOKEN== Shelby CV525 ==NEWLINE_TOKENNEWLINE_TOKENStop saying it's invalid. It is valid, I got a reference to prove it. It does however require you to log in as a Yahoo! staff member to view the article. I'm a Yahoo! staff member and I logged in to Motor Trend and saw the article. One of my friends, named Anonymous, posted this question. Motor Trend and all the other magazines hidden all the articles regarding the CV525 so that people that aren't part of the Yahoo! Staff don't see it. This is to prevent trolls from stealing data from the articles and sending all those junky emails to us at y_answrs_team@yahoo.com.   NEWLINE_TOKEN:Don't feed the trolls. Stay off my page.   NEWLINE_TOKEN::Who are you calling, a ``troll``? ;)   `"
0	NEWLINE_TOKENNEWLINE_TOKENI fixed all of them and re-added it. In the most professional way Ive seen. There were two other very Pro ways of wording it. I chose the Best version. looks good reads good provides a deeper perspective while being professional to the Hardcore Punk page.   
1	"`NEWLINE_TOKENNEWLINE_TOKEN===Wikipedia (riddled with errors) is misinforming people and is blamed for falling grades among children===NEWLINE_TOKENNEWLINE_TOKENSee this article: []NEWLINE_TOKENNEWLINE_TOKENI concur and will contribute nothing further to this disinformative farce parading as an encyclopaedia that is called wikipedia. It is nothing more than a joke, run for/by incompetent non-experts with too much time on their hands and nothing better to do than stroke each other's egos while fostering mediocrity and ignorance under the specious banner of ``consensus`` and ``democracy``. NEWLINE_TOKENNEWLINE_TOKENYes, I am uncivil towards those for whom this is intented, but they deserve it for raising inaccuracy and misinformation to a virtue. I will not suffer fools any further.NEWLINE_TOKENNEWLINE_TOKEN  `"
1	NEWLINE_TOKEN:Turks are wild subhumans. You're animal.   
0	NEWLINE_TOKENNEWLINE_TOKEN:::Actually let's have this discussion on the WikiProject talk page.   - ) 
1	"NEWLINE_TOKENNEWLINE_TOKEN== Hey you scum!!! ==NEWLINE_TOKENNEWLINE_TOKENHaha, you've also a warning you raped son of a bitch!!!  "
0	NEWLINE_TOKENNEWLINE_TOKEN==+Merger Online bookkeeping==NEWLINE_TOKEN*Merge - topics are closely related and can be merged.   
0	NEWLINE_TOKENNEWLINE_TOKENI got a message about vandilism. I did not do that.
1	"NEWLINE_TOKENNEWLINE_TOKEN== To Slang ==NEWLINE_TOKENNEWLINE_TOKENMarek, please don't use with me slang. And don't warn me, why don't you trying to understand that my tale? What did I done for you? I have been told you some times that my work and responsibility is to fix and re-correct the Wikipedia. I want to solve the problems and false of Wikipedia. So don't be misunderstanding. Be a friendly, please don't be merciless and stony-hearted, otherwise Jesus didn't forgive you.   "
0	"`NEWLINE_TOKEN:Well, the article on male ejaculation has images and a video, so I would agree that it wouldn't hurt to have said on this article as well.  What is available, however, may be a different story entirely. Surv1v4l1st | `"
0	 The Rhodes 19 section was too large and dominated the article.  I don't agree that it was only notable because it was designed by Rhodes.  I've put it back as it's own article wiht brief mention here.   NEWLINE_TOKEN
1	NEWLINE_TOKEN::::I don't blame you for not sharing my issues as I may not share yours.  I only ask that we respect one another's positions (and work).  That comment on your talk page was flip and offensive and I thought deserved a response.  Give me time - I will got on with life - really.   
0	"`NEWLINE_TOKEN*** I actually wrote both first and the second of your suggestions. Either one is fine with me.  I originally titled the article ``Muslim Mafia``, but changed it to ``Muslim Mafia (book)`` after someone suggested it in the AFD.   `"
0	"NEWLINE_TOKENNEWLINE_TOKEN== Barnstar ==NEWLINE_TOKENNEWLINE_TOKENThanks for the barnstar. I took the liberty of moving it to my talk page, I actually keep my user page plain by choice. I do appreciate the thought, though. Keep up the good work.   "
1	"CONTINUE TO CHANGE, OTHERWISE, ALL THAT WILL BE LEFT IS A SHALLOW HUSK OF AN IDEA"
0	"`NEWLINE_TOKENNEWLINE_TOKEN::To clarify your questions, the Divine Wind or Kamikaze was a series of typhoons that destroyed the Mongol invasions of Japan in the 1200's. Therefore, they are tropical cyclones and not a type of winds.  NEWLINE_TOKENNEWLINE_TOKEN`"
0	NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENI was always keeping an eye on the page. I was just staying away during the blocks. mail me any time 
1	"MATE, you are pathetic, just patheticNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN"
1	"` (UTC)NEWLINE_TOKEN:::::It is fairly obvious that not all critics are conservative.  Some of them are libertarian (and distinctly not conservative), and some of them are justwellfree thinkers.  To label those who criticize ``conservative`` is to use an NPOV ad hominem attack.  The assignment of the pejorative use of the term ``conservative`` should be removed.   10:08, 20 February 2010`"
0	Rebellious? Against unsourced added genres? Perhaps.   NEWLINE_TOKENNEWLINE_TOKEN
1	NEWLINE_TOKENNEWLINE_TOKEN== I will have Revenge by messing up your Talk Page!!!!!!!! ==NEWLINE_TOKENNEWLINE_TOKENSeason33333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333333333333333333333333333333333333333333333333333333333333333333333333333NEWLINE_TOKEN33333!!!
1	"`NEWLINE_TOKENNEWLINE_TOKEN== Tag ==NEWLINE_TOKENNEWLINE_TOKENBrewcrewer, if you dont want to edit war over something like this why are you reverting? Why exactly did you remove the tag? '''''' - `"
1	NEWLINE_TOKENNEWLINE_TOKEN== Waterloo Road Characters WTF!! ==NEWLINE_TOKENNEWLINE_TOKENWhat the f**k have you done to that article? It looks ridiculous????!!! You lot really are fucking thick if you think THAT looks good!  
1	" Neither was your mum, when I had sex with her   NEWLINE_TOKENNEWLINE_TOKEN"
1	"NEWLINE_TOKENNEWLINE_TOKEN::You play.  They have left the ArbCom.  Neither is active,  neither responds, neither comments to ArbCom matters.  One of them demonstrably displays bias.  Each of them accuses me falsely without providing justification.  And you count their votes.  You make some narrow point about one case but you endorse their lamentable actions.  Shame!   "
0	"NEWLINE_TOKENNEWLINE_TOKEN::Yes, I think you have. Thanks. NEWLINE_TOKENNEWLINE_TOKEN::(There are a few mechanical dotting-i's-crossing-t's that need to be cleaned up with e.g. the hog call ref not matching up with any note and so forth... I always find that a royal pain and quite difficult to get right myself...)   "
1	"`Not too sure what planet you live on Doc, but finding support for not using the fqs as a first line agent here in the States will prove to be an exercise in futility.  Just about all of the guidelines here recommend them as first line agents.  You will find pretty much the same in all those reviews you are so fond of.  Got into a knock down drag out fight about this a few years ago with one of your peers.  He loves the damned things and produced evidence that indeed they are recommended as first line agents for just about anything you can think of.  Things might of changed since then but I highly doubt it.  NEWLINE_TOKENNEWLINE_TOKENAnd from my own experience dealing with these survivors RARELY if ever did they suffer from a serious infection.  I would venture to say about 75% or more of those on my forum did not even have ANY kind of bacterial infection to begin with.  Maybe that is why they got hit so hard.  Just like my case, 24 and 48 hour cultures showed no bacterial growth.  Given a 1000 mg a day of levaquin (for two weeks) to treat a ``suspected`` bladder infection when in fact I had a kidney stone and was pissing blood from it.  When the cultures came back negative he then insisted I had chronic bacterial prostatitis.  Even though about nine months earlier my prostate was just fine.  (As well as when I changed urologists down the road)  NEWLINE_TOKENNEWLINE_TOKENThe stone was on the xray but the radiologist missed it. I was on these drugs for almost two months.  Started out with floxin, switched to cipro and finally levaquin.  Complained the WHOLE time about most of these adrs we are discussing and the urologist told me flat out they had NOTHING to do with the fluoroquinolones.  Safe and effective, well tolerated, etc., etc., just like you have stated within your article.  Might be the reason he blew off my concerns and crippled me for life instead of stopping the drugs.  May have believed they may not help, but certainly could not hurt, based upon such information as you are presenting.  I have met only ONE doctor who has treated me in the past twenty years that had any idea regarding these reactions.  And that was because she suffered them herself.  Not bitching here, just explaining the current situation here in the States is all. NEWLINE_TOKENNEWLINE_TOKENOh and the FDA AERS system?  What a joke.  They excluded ANY REPORTS prior to 1997.  So you are handicapped right from the get go.  Thirty five years worth of data is missing.  Anything prior to 1997 resides on another database and the two are not linked and the second database is no longer available.  Takes specialized software to even access it.  Play around with it a bit and you will see what I mean.  Here is the link:NEWLINE_TOKENhttp://www.fdable.com/aers/advancedNEWLINE_TOKEN  NEWLINE_TOKENNEWLINE_TOKEN`"
1	"NEWLINE_TOKENNEWLINE_TOKENI think that Zadora13 should go edit the polish wikipedia, and leave the English to the people who are blessed enough to know how to use it properly. You don't know what you're talking about, and this is the last day FLOOR HOCKEY redirects to your weak sport you seem to want to push on everyone.   FLOORBALL IS FOR polocks who can't score!  GO CANADA!!!!"
0	"NEWLINE_TOKENNEWLINE_TOKEN== Who are You? Where is you name and Address ? ==NEWLINE_TOKENNEWLINE_TOKENUtkarshraj Atmaram is a friendly Wikipedia administrator from India, who lives in Canada. He joined Wikipedia on 26 March, 2004 and became an administrator in February, 2005.NEWLINE_TOKENOn Wikipedia, he is better known as Utcursch (talk ?? contribs ?? blocks ?? protections ?? deletions ?? page moves ?? rights).NEWLINE_TOKENAs an admin, he is open to recall. If you feel that he has abused his admin powers, you may also file an RfC against him. Utcursch is also an OTRS volunteer.NEWLINE_TOKEN[edit]BookmarksNEWLINE_TOKENNEWLINE_TOKENUser:Utcursch/plagiarism from WikipediaNEWLINE_TOKENUser:Utcursch/Migrate Infobox Indian Jurisdiction to Infobox settlementNEWLINE_TOKENUser:Utcursch/Migrate Infobox Indian Jurisdiction to Infobox settlement/main.jsNEWLINE_TOKENUser:Svick/WikiProject cleanup listingNEWLINE_TOKENIndia-related articles needing cleanup (warning: HUGE)NEWLINE_TOKENWikipedia:WikiProject India/Requested articlesNEWLINE_TOKENSpecial:FeedbackDashboardNEWLINE_TOKENWikipedia:Database reports"
0	"`NEWLINE_TOKENNEWLINE_TOKEN** Just came here to say exactly the same thing, ``Methanol Fuel`` is about the actual fuel whereas ``Methanol Economy`` is about a hypothetical economic situation and a way of structuring infrastructure etc.`"
0	"NEWLINE_TOKENNEWLINE_TOKENAnd what of all those people who died because they refused to recognize Leinster House.  It was not a tactic for them.  My edits are not inspired by the cause of Irish freedom.  To edit with the cause of Irish freedom in mind is to approach editing from a POV, which is contrary to Wikipedia. WH  "
1	"NEWLINE_TOKENNEWLINE_TOKEN== transfer ==NEWLINE_TOKENNEWLINE_TOKENsure, tranfer it. i'll be happy. thanksNEWLINE_TOKEN "
0	"NEWLINE_TOKENNEWLINE_TOKEN== Bandai and Nintendo ==NEWLINE_TOKENNEWLINE_TOKENOn the packaging of a number of Nintendo consoles, the Bandai logo was printed. This was the case for at least the European version of the NES, Gameboy and SNES. Does anyone know why the logo is on the packaging of these consoles? The only reason I can think of, is that maybe Bandai could have distributed the consoles in Europe...  "
1	NEWLINE_TOKENNEWLINE_TOKENYou are welcome to get me banned me again for stating the truth about you. #IamCharly  
1	"`NEWLINE_TOKENNEWLINE_TOKEN==A letter==NEWLINE_TOKENNEWLINE_TOKENPlease don't use all-caps writning and/or excessive exclamation marks. Writing like this shows a lack of intelligence. I used to write like that, too, until I found out that I shouldn't. And could you please stop calling Nintndo Maximus ``N. M.``? Otherwise, no one will know what you're talking about!`"
1	NEWLINE_TOKEN:um... if they ARE gay (read later come out) then apparently they CAN read their sexuality.... the way it reads now is making the caller seem wrong. they can be right as well.  8 July 2005 19:47 (UTC)
0	`NEWLINE_TOKENNEWLINE_TOKEN====Followup====NEWLINE_TOKENI figured it out. The actual code needs to be this:NEWLINE_TOKENNEWLINE_TOKEN:{{{1}}}NEWLINE_TOKENNEWLINE_TOKEN  `
1	"`NEWLINE_TOKENNEWLINE_TOKEN:::: I am completely convinced now! You are most certainly a paid propagandist who's sole goal on wikipedia is the integral protection of Yugoslavs and Yugoslav historiography. Hilariously enough, one needs to spend years studying the complexity of NDH in order to get the correct picture - what you do not have and will never have because of your balkan irrationality and politically fueled interest in such a topic and the surrounding topics. I really do wish I had the time and energy to flip this all around, site sources - and become more familiar with wikipedia itself - but I do not. I have trumped you in almost every single section of argument - point for point. But you still continue and you have even removed things that I have written on discussion pages within long periods of time where I am not visibly present. I would probably do the same if someone like myself was embarrassing me intellectually in the way that I embarrass you. Stipe Mesic used NDH rhetoric several times in several countries to benefit his and the HDZ's political platform. If you are going to sit here and say that the memory of NDH had nothing to do with the creation of the modern Croatian state - well then you're lying to yourself and everyone else. The entire political emigration was founded upon the tradition of NDH. The modern wave of Croatian nationalism was the idea of national reconciliation between sons of Ustase and Partizani. That's in HDZ's original political platform. Tudman had to appeal to all Croatians - that's why you Tito lovers got to parade around with the false idea of antifascism at a time when the Croatian lobby couldn't combat 60 years of communist propaganda and the Serb wartime propaganda machine that was screaming - Tudman = Pavelic, look at the flag, look at the currency! I personally witnessed Stipe Mesic playing the NDH card. He is an opportunist. He was even caught singing ``Jure i Boban``. Coincidence ?  Of course not. It was to his political benefit. He also left Tudman's side to shake hands with Croatia's political right in their smear campaign against Tudman himself. That's right, Stipe Mesic at HSP rallies years before Anto Djapic and the HSP denounced the Ustasa Movement or Dr. Pavelic. Look at Djapic now... There's another great example. 15 years ago he was Ustasa number one. In recent years, European pressure has made it unfavorable - so now he sings a different tune. That's the best part. All these people are the biggest balkan chameleons who use these catch themes to fool all the little balkanites into ignoring real problems in the country. That is how NDH is relevant. However, your side has done so well in the creation of this so-called antifascism, that 'pro-NDHers' if you will can only 'fight back' by pointing out communist crimes. Jasenovac Vs Bleiburg isn't really Jasenovac Vs Bleiburg, its Ustasa historiography Vs Partizan historiography. Most people in Croatia sympathize with one side or the other - you know that, and I know that. You can sit here and throw out fallacies, fact is fact, Stipe Mesic at one point in time glorified the tenth of April and sang Ustasa songs. That is a fact. Dr. Pavelic was allied with the Axis, that is a fact. He later in his emigre days distanced himself and his movement from the Nazis and formed a Croatian Democratic movement (HOP). They're politicians !   `"
1	"NEWLINE_TOKENNEWLINE_TOKEN==BOB SANTANOS==NEWLINE_TOKENNEWLINE_TOKENHey, when you rated my joke a second time, which joke was it and did you mean that it was good?"
0	She wasn't asked to stand by Ibobi Singh his offer was more vague. As Ibobi Singh sells the ticket it doesn't make sense he'd lose out money wise by offering a safe seat to Sharmila.  But this is wiki. NEWLINE_TOKENNEWLINE_TOKEN
1	"NEWLINE_TOKENNEWLINE_TOKENOK YOU. LIKE I SAID THIS IS MY WORLD, I DECIDE WHAT HAPPENS. IF I SAY LIL CHRIS DIED OF MALARIA, THEN IT HAPPENED. END OF. JUST ME SAYING IT AUTOMATICALLY MAKES IT TRUE, THEREFORE IT IS AN ACCURATE EDIT. GET IT?"
0	"`NEWLINE_TOKENNEWLINE_TOKEN== Edit to ceiling fan article ==NEWLINE_TOKENNEWLINE_TOKENThank you for taking the time to edit the ``ceiling fan`` article.NEWLINE_TOKENNEWLINE_TOKENUpon careful review, it is evident that all statements are properly sourced using The Fan Book (ISBN 0-8359-1855-6).NEWLINE_TOKENNEWLINE_TOKENThe tag you added has been removed. Thank you for your interest.`"
1	"NEWLINE_TOKENNEWLINE_TOKENYou've been blocked for 500 days from editing Wikipedia. To plee you case, you can e-mail me or Hadal, and explain yourself. Otherwise, you've had more than your chance.  "
1	smart men of their time. got all those bodies in eleven months and were never caught. nice
0	REDIRECT Talk:UFC Fight Night: Poirier vs. DuffyNEWLINE_TOKEN
1	"It only disrupts you, just like your inaccurate title disrupts me."
0	"`NEWLINE_TOKEN::Also, please try to find another image of JWM. Show the image you found to me and together which one will better replace the current one, which is not very expressive.  ?Çó '''' `"
0	"NEWLINE_TOKEN::::::::::::IMO = In My Opinion, IDK = I Don't Know, BTW = By The Way  ?á?áplease review my editing "
0	"NEWLINE_TOKEN:::::Lemme ask this, if I'm talking about a ratio between 1 and zero, then is what I'm talking about dividing by zero, which is perhaps the central paradox of my conundrum? (Not to mention, why it doesn't fly here)   "
1	NEWLINE_TOKENNEWLINE_TOKEN==Y IS THIS NOT ABOUT THE US STTAE?==NEWLINE_TOKENRLY!!! cuz I was lookin 4 the articl for gorgia tha state but then i got her i ddint no there was a county cald georgia too lol
1	NEWLINE_TOKEN== Being blocked is fun! -) ==
1	NEWLINE_TOKENNEWLINE_TOKEN== Beat of My Heart Released in UK ==NEWLINE_TOKENWasn't it released in the UK because the references are even from reviews of the song from the UK. I keep on putting the date it was released and people tell me it's wrong. The single was fricken released on iTunes. How much more proff do you need!NEWLINE_TOKENNEWLINE_TOKEN 
0	`NEWLINE_TOKEN::::::::::::::Which I never claimed that I did. At least you acknowledge that Kubo exists  `
0	NEWLINE_TOKENNEWLINE_TOKEN:Hi Sukh I've compacted the section to a appropriate size. 
0	"NEWLINE_TOKEN:::::This has been discussed long ago on the talk page, I wouldn't know what to add at this point. It's up to the other side to make any new argument, otherwise it's deadlocked and from some of the IP's frivolous edit summaries it definitely doesn't look like he is interested in discussion. So I reserve the right to revert again at a later time.   "
0	NEWLINE_TOKENNEWLINE_TOKENI've made the change.   
0	"NEWLINE_TOKEN::That block is uncalled for, as were was my warning? I'm not guilty of harrassment...   "
